合同ID(_id),活动城市(province),工单编号(serviceAppointmentNum),Status,管家(serviceHousekeeper),合同编号(contractdocNum),合同金额(adjustRefundMoney),支付金额(paidAmount),差额(difference),State,创建时间(createTime),服务商(orgName),签约时间(signedDate),Doorsill,款项来源类型(tradeIn)
2733464748488323279,50700,GD198608091533,2,王五,YHWX-BJ-SDHY-4678065704,1350,1685,0.0,2,1987-01-06T20:08:14,Cannon and Sons,2017-04-01T19:58:01,44069,2
6132613604160816776,44234,GD201808209309,1,李四,YHWX-BJ-SDHY-9267471201,7187,6349,0.0,2,2008-07-11T17:18:15,"Nguyen, Hernandez and Lewis",2013-12-14T14:28:21,11586,3
7584499552920590451,66408,GD200007024159,2,张三,YHWX-BJ-SDHY-9135743076,6806,3607,0.0,2,1997-08-05T18:15:06,Foley-Jones,2021-09-25T19:50:38,69608,3
9108692860369249112,32500,GD199705159077,3,张三,YHWX-BJ-SDHY-9055257659,1040,801,0.0,1,2009-01-29T15:38:30,White-Greene,2022-02-20T03:27:28,15230,2
8609529787672580691,48507,GD200802162632,3,张三,YHWX-BJ-SDHY-5857995462,4924,3747,0.0,1,1979-08-22T22:27:59,"Hoffman, Fuentes and Johnson",2019-07-26T06:30:27,87705,3
3625361146512132474,89108,GD198801071898,1,李四,YHWX-BJ-SDHY-7761262698,9604,8721,0.0,2,1996-11-27T11:59:48,"Gray, Wallace and Cooke",2018-09-09T02:16:21,55045,3
7827885078442575649,28981,GD201007276344,3,李四,YHWX-BJ-SDHY-5376668406,4702,212,0.0,1,1973-01-06T18:54:40,Hoover-Parsons,1983-08-04T04:11:39,62014,2
3063495049616874904,77968,GD202110015005,1,王五,YHWX-BJ-SDHY-6102663918,6604,2613,0.0,1,1989-11-25T03:45:16,Johnson PLC,1996-08-02T22:44:49,32675,1
2000464294077594249,61629,GD201710016678,3,王五,YHWX-BJ-SDHY-6146155535,7065,4818,0.0,1,2003-07-03T04:19:27,Randolph-Garner,2015-03-02T17:14:14,10947,1
7552711453492928148,15985,GD200703073103,2,李四,YHWX-BJ-SDHY-2521821290,7661,4588,0.0,2,2022-10-08T14:47:21,Coleman and Sons,2020-05-08T01:23:48,93653,2
4980253586918288708,95139,GD200508274673,3,李四,YHWX-BJ-SDHY-6660229804,4139,2627,0.0,1,1999-06-27T17:45:28,Hines Inc,2014-09-28T23:53:36,89795,3
7954704190784576409,76030,GD200202091170,3,张三,YHWX-BJ-SDHY-8634236664,8373,9892,0.0,2,1982-12-23T15:42:03,Taylor LLC,2007-03-28T03:40:34,20395,3
7702765804458874703,19565,GD202204128440,1,李四,YHWX-BJ-SDHY-9561258557,713,7647,0.0,2,1973-07-14T08:56:14,Moody-Neal,1974-04-02T05:10:10,89069,2
6140803032215104456,69924,GD198610074015,1,王五,YHWX-BJ-SDHY-7671782667,7774,5818,0.0,2,2017-05-24T03:35:28,"Wilson, Hayden and Parker",1997-05-31T01:26:18,70877,3
9774402349551402427,18249,GD199012026634,1,李四,YHWX-BJ-SDHY-4074955669,6752,6029,0.0,1,2006-09-21T07:08:01,"Burke, Walton and Scott",2005-10-08T06:48:27,76536,2
9630483445037539328,67439,GD200808106759,1,张三,YHWX-BJ-SDHY-6948845764,6938,5276,0.0,2,2002-10-23T12:53:21,Murphy-Garner,2008-03-05T06:33:21,99547,1
9029403870670179962,15843,GD201502119633,2,李四,YHWX-BJ-SDHY-3677609485,7420,2351,0.0,2,1982-07-29T03:02:35,Mendoza and Sons,1981-12-29T13:36:32,21531,1
7762797383056157560,57106,GD198208244830,3,王五,YHWX-BJ-SDHY-7239643472,7222,7951,0.0,1,1975-11-02T12:55:08,"Burns, Molina and Reed",1987-07-14T09:17:49,48604,3
7484170518381065403,84728,GD201803191834,1,张三,YHWX-BJ-SDHY-7080466287,1538,1856,0.0,2,2005-05-03T07:49:30,"Roman, Thomas and Salazar",1999-12-06T11:13:18,46732,1
4288391141350114495,84831,GD199501073422,2,李四,YHWX-BJ-SDHY-5110709899,2886,9606,0.0,1,2012-12-20T06:37:42,"Vega, Johnson and Edwards",1994-07-24T02:30:51,16474,2
9377221790547057695,67829,GD197507207038,1,李四,YHWX-BJ-SDHY-5549518224,9566,9390,0.0,1,2016-08-10T12:18:33,Andrews-Henry,2020-03-21T20:55:14,67804,1
9547699798873960450,43058,GD200409022068,2,李四,YHWX-BJ-SDHY-9651033227,1794,2360,0.0,1,1986-03-28T23:55:28,Powell PLC,2011-09-02T21:42:46,71929,3
9367553061872259712,94861,GD197808075347,2,张三,YHWX-BJ-SDHY-5033406969,288,340,0.0,2,1998-12-29T21:50:40,Graham Ltd,2017-02-25T00:39:48,64339,1
7281668189262826935,31574,GD197710295464,2,王五,YHWX-BJ-SDHY-2241720550,6944,7365,0.0,1,1972-02-29T12:16:41,"Chen, Mclean and Manning",1988-07-15T19:26:02,94423,1
7102486174160628048,84022,GD197203069653,2,张三,YHWX-BJ-SDHY-5232735714,229,4567,0.0,1,2005-10-18T04:58:33,Gonzales and Sons,1970-12-30T14:03:32,18163,2
1780416184925762570,63964,GD200702064044,3,王五,YHWX-BJ-SDHY-2521311414,8170,1900,0.0,1,1997-09-09T11:56:07,Wilson PLC,1985-02-23T08:42:10,28137,2
5492605182450664477,28705,GD198112286794,3,王五,YHWX-BJ-SDHY-4234385335,2293,2520,0.0,2,2015-11-21T15:28:11,"Daniels, Reyes and Murillo",2011-11-10T10:41:49,49300,1
2541257512037335797,50947,GD200705279662,1,张三,YHWX-BJ-SDHY-5854830758,6757,1928,0.0,2,1992-03-29T16:37:09,Gomez and Sons,1996-06-28T01:07:25,12200,1
2863317943876562306,12733,GD201501119018,2,张三,YHWX-BJ-SDHY-9363460070,7535,8244,0.0,2,2024-01-21T15:01:18,Ellis Ltd,2017-12-14T00:04:40,88115,2
6796264240802316601,28013,GD199804292806,3,李四,YHWX-BJ-SDHY-3158989607,7764,6679,0.0,2,1984-07-15T18:51:49,Beck-Johnston,2009-07-29T15:37:24,48461,1
5681745495576206046,80292,GD199408086635,3,张三,YHWX-BJ-SDHY-7596806012,35,1073,0.0,2,1978-08-28T12:45:34,"Flores, Cummings and Bryant",2017-02-26T20:20:45,60545,1
8389702461025594841,71462,GD201002211815,2,张三,YHWX-BJ-SDHY-3361301781,3948,5565,0.0,2,2006-10-19T23:53:15,Hunt LLC,2022-07-20T11:36:00,54157,2
7819921667977666270,18265,GD201005011815,1,李四,YHWX-BJ-SDHY-4555890600,8182,4272,0.0,2,1998-03-28T23:20:37,"Krueger, Copeland and Scott",1972-02-03T16:36:10,73826,3
6753293738345452072,75251,GD200210049694,1,李四,YHWX-BJ-SDHY-5833482523,8561,5791,0.0,1,2015-05-19T07:59:13,"Smith, Rowe and Farmer",2016-02-12T07:12:02,33651,1
5265203139814273984,54885,GD201006158165,1,张三,YHWX-BJ-SDHY-2729601646,3364,3767,0.0,2,2004-08-11T16:54:12,Farrell PLC,2004-04-18T04:55:17,72209,1
8183135025329657166,65044,GD197101291674,2,张三,YHWX-BJ-SDHY-4588870259,7366,3630,0.0,2,1976-04-26T15:47:41,"Kelley, Martin and David",1990-01-26T10:01:32,59269,1
1639235850524015243,58659,GD200404073173,2,张三,YHWX-BJ-SDHY-9378392259,9466,7105,0.0,1,1998-11-15T04:31:12,Brown-Campbell,2006-02-10T08:58:15,85429,2
2652650737696337468,50573,GD201311233291,1,李四,YHWX-BJ-SDHY-5327835550,928,2490,0.0,2,1970-12-13T20:30:55,Juarez and Sons,2009-09-28T21:10:13,34469,1
7894100957365363785,90439,GD200009088382,1,李四,YHWX-BJ-SDHY-3878512227,2611,8549,0.0,2,1974-06-22T13:16:14,"Coleman, Boone and Washington",2014-01-26T15:43:39,79115,2
7454933139708907589,91197,GD198912064255,1,张三,YHWX-BJ-SDHY-7049150534,7464,6952,0.0,1,1974-12-16T23:54:15,"Davis, Dillon and Lucas",2013-03-24T06:06:31,62010,3
2418673710546756997,33954,GD201701144270,3,李四,YHWX-BJ-SDHY-4969234096,1337,627,0.0,1,1980-07-01T21:50:55,Simpson-Krueger,2004-02-04T01:13:14,81636,2
1838187157660589285,45557,GD199310308827,1,张三,YHWX-BJ-SDHY-5219194018,7250,4156,0.0,2,1988-12-06T01:39:05,Solomon-Martinez,2008-03-18T04:22:20,57649,1
8428937436562043701,79421,GD198210097415,2,李四,YHWX-BJ-SDHY-6802711911,4847,2755,0.0,2,1986-10-28T12:15:19,Jones-Ibarra,1979-10-21T11:00:25,59608,1
2445557039966214846,86900,GD197104231966,2,李四,YHWX-BJ-SDHY-9996666436,309,2267,0.0,1,1997-10-02T21:46:31,Porter-Miller,1991-05-28T06:44:01,77795,3
1612584101269840795,85669,GD199204175215,3,王五,YHWX-BJ-SDHY-7854205680,6210,1473,0.0,1,2009-12-09T01:31:20,"Brewer, Perez and Mitchell",2014-01-20T01:24:23,25503,1
